qid,label,enwiki_title,domain,p31_classes,p31_qids,p910_categories,p910_count,wikipedia_categories,p31_count,category_count,p279_depth,wp_depth,p910_depth,p910_matched_category,overlap_count,matched_categories,overlap_ratio
Q24732,The Broken Coin,The_Broken_Coin,films,film,Q11424,Films,1,1910s adventure film stubs|1915 American films|1915 English-language films|1915 adventure films|1915 films|1915 lost films|American black-and-white films|American silent serial films|English-language adventure films|Films directed by Francis Ford|Films with screenplays by Grace Cunard|Lost American silent adventure films|Lost American silent mystery films|Universal Pictures film serials,1,14,0,1,1,Films,0,,0.0
Q24815,Citizen Kane,Citizen_Kane,films,film,Q11424,Films,1,1940s business films|1941 American films|1941 English-language films|1941 directorial debut films|1941 drama films|1941 films|American black-and-white films|American business films|American drama films|American nonlinear narrative films|Censorship in the Soviet Union|Citizen Kane|Cultural depictions of Neville Chamberlain|Drama films based on actual events|English-language drama films|Everglades in fiction|Expressionist films|Films about Adolf Hitler|Films about mass media in the United States|Films about mass media owners|Films about media manipulation|Films about newspaper publishing|Films about opera|Films about tabloid journalism|Films directed by Orson Welles|Films scored by Bernard Herrmann|Films set in 1871|Films set in 1898|Films set in 1941|Films set in Florida|Films set in New York City|Films set in country houses|Films set in libraries|Films set in the 1900s|Films set in the 1910s|Films set in the 1920s|Films set in the 1930s|Films shot in San Diego|Films whose writer won the Best Original Screenplay Academy Award|Films with screenplays by Herman J. Mankiewicz|Films with screenplays by Orson Welles|Films à clef|RKO Pictures films|Spanish–American War films|United States National Film Registry films|Works about William Randolph Hearst,1,46,0,1,1,Films,0,,0.0
Q24871,Avatar,Avatar_(2009_film),films,film,Q11424,Films,1,2000s action adventure films|2000s epic films|2000s science fiction adventure films|2000s science fiction war films|2009 3D films|2009 American films|2009 English-language films|2009 films|2009 science fiction action films|20th Century Fox films|American 3D films|American IMAX films|American action adventure films|American epic films|American science fiction action films|American science fiction adventure films|American space adventure films|Avatar (2009 film)|Avatar (franchise) films|BAFTA winners (films)|Best Drama Picture Golden Globe winners|Dune Entertainment films|English-language action adventure films|English-language science fiction action films|English-language science fiction adventure films|English-language war films|Fictional-language films|Films about cloning|Films about consciousness transfer|Films about environmental issues|Films about extraterrestrial life|Films about holography|Films about people with paraplegia or tetraplegia|Films about rebellions|Films about technology|Films about telepresence|Films directed by James Cameron|Films produced by James Cameron|Films produced by Jon Landau|Films scored by James Horner|Films set in forests|Films set in the 2140s|Films set in the 2150s|Films set on fictional moons|Films shot at Stone Street Studios|Films shot in Hawaii|Films shot in Los Angeles|Films shot in New Zealand|Films shot in the United Kingdom|Films subject to a lawsuit|Films that won the Best Visual Effects Academy Award|Films using motion capture|Films whose cinematographer won the Best Cinematography Academy Award|Films whose director won the Best Director Golden Globe|Films whose production designer won the Best Production Design Academy Award|Films with screenplays by James Cameron|Golden Eagle Award (Russia) for Best Foreign Language Film winners|Lightstorm Entertainment films|Military science fiction films|Planetary romances|Rotoscoped films|Saturn Award–winning films|Social science fiction films|Teen Choice Award–winning films|Transhumanism in film|World record holders,1,66,0,1,1,Films,0,,0.0
Q46568,Sweet Delusions,Sweet_Deceptions,films,film,Q11424,Films,1,1960 Italian-language films|1960 Italian films|1960 drama films|1960 films|1960s Italian drama film stubs|1960s coming-of-age drama films|Coming-of-age film stubs|Films directed by Alberto Lattuada|Films scored by Piero Piccioni|Films set in Rome|Films shot in Rome|Italian coming-of-age drama films,1,12,0,1,1,Films,0,,0.0
Q46609,Una spina nel cuore,A_Thorn_in_the_Heart,films,film,Q11424,Films,1,1980s Italian film stubs|1986 Italian-language films|1986 Italian films|1986 films|1986 romantic drama films|Films based on Italian novels|Films based on works by Piero Chiara|Films directed by Alberto Lattuada|Italian romantic drama films|Miasino|Romantic drama film stubs,1,11,0,1,1,Films,0,,0.0
Q46637,Maximum Overdrive,Maximum_Overdrive,films,film,Q11424,Films,1,1980s psychological thriller films|1986 American films|1986 English-language films|1986 directorial debut films|1986 films|1986 horror films|1986 science fiction films|1986 science fiction horror films|American psychological thriller films|American science fiction horror films|Comets in film|De Laurentiis Entertainment Group films|English-language science fiction horror films|English-language thriller films|Films based on American short stories|Films based on works by Stephen King|Films directed by Stephen King|Films produced by Martha De Laurentiis|Films scored by musical groups|Films set in 1987|Films set in North Carolina|Films set in the future|Films shot in North Carolina|Films with screenplays by Stephen King|Trucker films,1,25,0,1,1,Films,0,,0.0
Q46717,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,films,film,Q11424,Films,1,"2000s action adventure films|2000s fantasy action films|2000s fantasy adventure films|2000s historical action films|2000s historical adventure films|2000s historical fantasy films|2003 American films|2003 English-language films|2003 action films|2003 adventure films|2003 fantasy films|2003 films|American action adventure films|American fantasy action films|American fantasy adventure films|American historical action films|American historical adventure films|American historical fantasy films|American swashbuckler films|BAFTA winners (films)|English-language action adventure films|English-language fantasy action films|English-language fantasy adventure films|English-language historical adventure films|Films about curses|Films about kidnapping|Films about treasure hunting|Films about undead|Films directed by Gore Verbinski|Films produced by Jerry Bruckheimer|Films scored by Klaus Badelt|Films set in 1720|Films set in 1728|Films set in Jamaica|Films set in the 18th century|Films set in the Golden Age of Piracy|Films set on ships|Films shot in Los Angeles County, California|Films shot in Saint Vincent and the Grenadines|Films using motion capture|Films with screenplays by Stuart Beattie|Films with screenplays by Ted Elliott|Films with screenplays by Terry Rossio|Jerry Bruckheimer Films films|Pirate films|Pirates of the Caribbean (film series) films|Sea adventure films|Teen Choice Award–winning films|Walt Disney Pictures films",1,49,0,1,1,Films,0,,0.0
Q46551,The Prestige,The_Prestige,films,film,Q11424,Films,1,2000s historical thriller films|2000s mystery thriller films|2006 American films|2006 British films|2006 English-language films|2006 films|2006 thriller films|American films about revenge|American historical thriller films|American mystery thriller films|American nonlinear narrative films|British films about revenge|British historical thriller films|British mystery thriller films|British nonlinear narrative films|Cultural depictions of Nikola Tesla|Cultural depictions of Thomas Edison|English-language historical thriller films|English-language mystery thriller films|Films about cloning|Films about magic (illusion)|Films about teleportation|Films about twin brothers|Films based on British novels|Films based on science fiction novels|Films directed by Christopher Nolan|Films produced by Aaron Ryder|Films produced by Christopher Nolan|Films produced by Emma Thomas|Films scored by David Julyan|Films set in Colorado|Films set in London|Films set in the 1890s|Films set in the 1900s|Films set in the Victorian era|Films shot in Colorado|Films shot in Los Angeles|Films with screenplays by Christopher Nolan|Films with screenplays by Jonathan Nolan|Newmarket films|Syncopy Inc. films|Touchstone Pictures films|Warner Bros. films,1,43,0,1,1,Films,0,,0.0
Q59346,The Mortal Instruments: City of Bones,The_Mortal_Instruments:_City_of_Bones,films,film,Q11424,Films,1,"2013 Canadian films|2013 English-language films|2013 German films|2013 LGBTQ-related films|2013 action films|2013 films|Canadian IMAX films|Canadian LGBTQ-related films|Canadian fantasy action films|Canadian fantasy adventure films|Constantin Film films|English-language Canadian films|English-language German films|English-language action films|Films about angels|Films based on American novels|Films based on fantasy novels|Films based on young adult literature|Films directed by Harald Zwart|Films produced by Don Carmody|Films produced by Robert Kulzer|Films scored by Atli Örvarsson|Films set in New York City|Films shot in Hamilton, Ontario|Films shot in New York City|Films shot in Toronto|German IMAX films|German action films|German fantasy adventure films|Lionsgate Canada films|Screen Gems films|The Mortal Instruments|Urban fantasy films",1,33,0,1,1,Films,0,,0.0
Q59391,Barbara Frietchie,Barbara_Frietchie_(1924_film),films,film,Q11424,Films,1,1920s silent drama film stubs|1920s war drama films|1924 American films|1924 English-language films|1924 drama films|1924 films|1924 war films|American Civil War film stubs|American Civil War films|American black-and-white films|American films based on plays|American silent feature films|American silent war drama films|English-language war drama films|Films directed by Lambert Hillyer|Producers Distributing Corporation films|Surviving American silent films|War drama film stubs|War drama films based on actual events,1,19,0,1,1,Films,0,,0.0
Q59408,Endangered Species,Endangered_Species_(2003_film),films,film,Q11424,Films,1,2003 films|2003 horror films|2003 science fiction horror films|American films about extraterrestrial life|American science fiction horror films|Films about alien visitations|Films directed by Kevin S. Tenney|Films scored by Harry Manfredini|Films set in the 2000s,1,9,0,1,1,Films,0,,0.0
Q59423,Q59423,Sex_Is_Comedy,films,film,Q11424,Films,1,2000s French film stubs|2002 French-language films|2002 French films|2002 Portuguese-language films|2002 Portuguese films|2002 comedy-drama films|2002 films|Arte France Cinéma films|Fiction about prosthetics|Films about filmmaking|Films directed by Catherine Breillat|Films shot in Portugal|Films with screenplays by Catherine Breillat|French comedy-drama films|French independent films|Portuguese comedy-drama films,1,16,0,1,1,Films,0,,0.0
Q59426,Heading South,Heading_South,films,film,Q11424,Films,1,2005 Belgian films|2005 Canadian films|2005 English-language films|2005 French-language films|2005 French films|2005 drama films|2005 films|2005 multilingual films|Canadian drama films|English-language drama films|Films about prostitution|Films based on Canadian short stories|Films directed by Laurent Cantet|Films set in Haiti|Films with screenplays by Robin Campillo|French-language Canadian films|French drama films|Prostitution in Haiti,1,18,0,1,1,Films,0,,0.0
Q59438,Three Seasons,Three_Seasons,films,film,Q11424,Films,1,1990s Vietnamese-language films|1999 American films|1999 English-language films|1999 drama films|1999 films|1999 independent films|American drama films|English-language Vietnamese films|Films about Vietnamese Americans|Films directed by Tony Bui|Films set in Ho Chi Minh City|Films shot in Vietnam|Satellite Award–winning films|Sundance Film Festival award–winning films,1,14,0,1,1,Films,0,,0.0
Q59495,Varudu,Varudu,films,film,Q11424,Films,1,2010 Telugu-language films|2010 films|Films about Indian weddings|Films directed by Gunasekhar|Films produced by D. V. V. Danayya|Films scored by Mani Sharma|Films shot in Pathanamthitta|Indian romantic action films,1,8,0,1,1,Films,0,,0.0
Q46916,Plumíferos,Plum%C3%ADferos,films,film,Q11424,Films,1,2010 Argentine films|2010 Spanish-language films|2010 comedy films|2010 computer-animated films|2010 films|2010s adventure comedy films|Animated films about birds|Argentine adventure comedy films|Argentine animated feature films,1,9,0,1,1,Films,0,,0.0
